ProbeSet	log2(FC)	p-value
220096_at	  0.2801	9.41e-02
220099_s_at	 -0.0870	6.33e-01
220100_at	  0.1803	1.45e-01
220102_at	 -0.3978	1.05e-01
220105_at	 -0.1060	3.23e-01
220109_at	 -0.0492	3.37e-01
220111_s_at	  0.1623	1.29e-01
220113_x_at	 -0.1844	2.35e-01
220114_s_at	  0.3284	3.32e-02
220115_s_at	  0.4042	8.27e-02
220116_at	  0.2921	4.38e-02
220118_at	  0.2412	2.57e-01
220119_at	  0.1529	3.11e-01
220126_at	  0.0521	4.87e-01
220127_s_at	 -0.0655	5.07e-01
220130_x_at	  0.0553	7.82e-01
220131_at	  0.0221	7.44e-01
220132_s_at	  0.2644	2.95e-02
220136_s_at	  0.2673	1.16e-02
220138_at	  0.0325	8.77e-01
220140_s_at	 -0.2332	1.13e-01
220144_s_at	  0.4142	4.99e-02
220146_at	  0.0124	9.20e-01
220147_s_at	 -1.0129	2.00e-03
220149_at	  0.2185	1.10e-01
220150_s_at	  0.6762	1.25e-03
220151_at	 -0.0520	7.41e-01
220152_at	  0.4356	2.14e-02
220157_x_at	  0.3674	2.52e-02
220158_at	  0.3060	5.08e-02
220161_s_at	  0.2170	1.94e-01
220162_s_at	 -0.2670	1.75e-01
220163_s_at	  0.0804	4.44e-01
220165_at	  0.3121	1.58e-01
220167_s_at	  0.1198	1.55e-01
220168_at	  0.0764	4.69e-01
220169_at	 -0.0379	2.33e-01
220170_at	  0.1378	3.55e-01
220171_x_at	 -0.0538	5.27e-01
220173_at	 -0.1466	1.84e-01
220174_at	  0.1790	4.78e-02
220176_at	 -0.2494	9.98e-02
220177_s_at	  0.1712	7.32e-02
220180_at	  0.2751	1.64e-01
220183_s_at	 -0.5977	1.70e-02
220184_at	  0.2265	1.64e-01
220185_at	  0.1076	1.08e-01
220186_s_at	  0.0569	5.28e-01
220191_at	  0.1881	2.18e-01
220192_x_at	 -0.0976	5.54e-01
220195_at	  0.3854	2.09e-02
220196_at	  0.3725	1.70e-01
220197_at	  0.1344	2.29e-01
220198_s_at	  0.0956	4.70e-01
220203_at	  0.2150	1.19e-01
220204_s_at	  0.3806	5.75e-02
220207_at	  0.1300	4.42e-02
220209_at	  0.3514	6.92e-02
220210_at	  0.0467	3.12e-01
220212_s_at	 -0.2460	1.09e-01
220216_at	  0.0177	8.71e-01
220222_at	  0.1808	4.05e-02
220227_at	  0.2082	2.98e-01
220229_s_at	  0.2277	1.66e-01
220230_s_at	 -0.1208	2.98e-01
220231_at	 -0.0586	5.61e-01
220232_at	 -0.1353	1.36e-01
220240_s_at	 -0.3762	9.08e-03
220242_x_at	 -0.0040	9.18e-01
220243_at	  0.1995	1.07e-01
220245_at	  0.1233	4.56e-01
220246_at	  0.4835	1.05e-01
220247_at	  0.1450	3.36e-01
220249_at	  0.3189	8.92e-02
220250_at	 -0.0767	3.52e-01
220252_x_at	  0.0641	1.40e-01
220253_s_at	 -0.1724	7.11e-02
220255_at	 -0.2123	2.25e-01
220259_at	  0.2911	1.08e-01
220261_s_at	  0.2742	2.65e-01
220262_s_at	  0.0058	9.59e-01
220266_s_at	  0.3438	7.18e-03
220267_at	  0.1433	1.48e-01
220269_at	  0.1565	3.43e-01
220270_at	  0.3278	1.43e-01
220271_x_at	  0.3304	5.63e-02
220272_at	  0.5665	3.90e-02
220273_at	  0.1780	1.92e-01
220277_at	  0.4384	6.58e-02
220279_at	  0.1674	3.72e-01
220283_at	  0.2838	4.76e-02
220286_at	  0.2073	3.79e-01
220291_at	  0.3982	4.71e-02
220292_at	  0.1265	3.58e-01
220293_at	 -0.1221	1.87e-01
220294_at	  0.1756	1.47e-01
220295_x_at	 -0.5974	7.16e-03
220297_at	  0.2074	2.54e-01
220301_at	  0.1779	2.45e-01
220302_at	 -0.0826	3.55e-01
220304_s_at	  0.2452	2.01e-01
220307_at	  0.0371	8.03e-01
220309_at	  0.0981	4.88e-01
220310_at	  0.1631	2.83e-01
220312_at	  0.1743	1.38e-01
220313_at	 -0.0205	8.65e-01
220314_at	  0.3813	9.21e-02
220315_at	  0.2634	5.92e-02
220316_at	  0.2765	1.66e-01
220317_at	  0.2006	1.19e-01
220318_at	  0.0054	9.61e-01
220319_s_at	  0.4949	3.39e-04
220321_s_at	  0.1397	2.47e-02
220322_at	  0.2568	1.04e-01
220323_at	  0.0299	8.14e-01
220324_at	 -0.0408	3.09e-01
220325_at	  0.3039	3.52e-02
220326_s_at	 -0.0256	7.84e-01
220327_at	 -0.0629	1.02e-01
220329_s_at	  0.2011	4.04e-01
220330_s_at	 -2.7180	3.85e-03
220331_at	  0.1030	3.99e-01
220334_at	  0.0758	5.91e-01
220338_at	 -0.0013	9.87e-01
220340_at	 -0.0126	9.06e-01
220343_at	  0.4328	1.97e-01
220345_at	  0.2250	8.97e-02
220346_at	  0.0924	2.86e-01
220347_at	  0.2362	2.65e-01
220350_at	  0.3492	1.63e-01
220352_x_at	  0.0541	5.70e-01
220353_at	 -0.2291	6.48e-02
220355_s_at	  0.0983	5.73e-01
220356_at	  0.0452	4.35e-01
220357_s_at	  0.4081	5.52e-02
220359_s_at	  0.2727	7.96e-02
220360_at	  0.1209	2.56e-01
220362_at	  0.1030	1.79e-01
220363_s_at	 -0.0836	2.63e-01
220364_at	  0.3938	8.07e-02
220365_at	  0.2106	1.02e-01
220366_at	  0.0945	3.42e-01
220368_s_at	  0.0517	6.48e-01
220371_s_at	  0.2743	1.16e-02
220374_at	  0.1919	2.22e-01
220376_at	 -0.0210	4.59e-01
220377_at	  0.4248	4.66e-02
220380_at	  0.1250	2.10e-01
220383_at	  0.1341	1.72e-01
220386_s_at	 -0.4559	3.31e-02
220388_at	  0.3060	7.38e-02
220389_at	  0.1453	3.67e-01
220390_at	  0.2194	1.50e-01
220391_at	  0.1119	1.44e-01
220394_at	  0.2095	2.71e-02
220396_at	  0.3095	1.11e-01
220397_at	 -0.1248	1.61e-01
220398_at	  0.1964	1.19e-01
220399_at	  0.0014	9.89e-01
220400_at	  0.1905	1.74e-01
220401_at	  0.0008	9.88e-01
220402_at	  0.4252	7.16e-02
220403_s_at	  0.2583	6.93e-02
220405_at	  0.5348	5.13e-02
220409_at	  0.0772	4.36e-01
220410_s_at	 -0.1310	2.13e-01
220412_x_at	 -0.0759	1.32e-01
220415_at	  0.0009	9.69e-01
220416_at	  0.0117	7.46e-01
220417_s_at	 -0.2686	5.86e-02
220419_s_at	 -0.2583	1.72e-01
220421_at	  0.1168	3.05e-01
220424_at	  0.1351	5.66e-01
220427_at	  0.3164	5.36e-02
220428_at	  0.0725	6.21e-01
220429_at	  0.2041	1.75e-01
220431_at	  0.4735	5.28e-02
220434_at	 -0.0535	6.01e-01
220435_at	  2.7295	3.05e-03
220436_at	  0.0689	3.71e-01
220437_at	  0.2389	1.61e-01
220438_at	  0.0283	8.78e-01
220439_at	  0.1685	1.21e-01
220442_at	  0.0870	3.11e-01
220443_s_at	  0.3394	1.22e-01
220444_at	  0.2199	1.31e-01
220445_s_at	  0.6251	4.24e-02
220446_s_at	  0.2144	3.51e-01
220447_at	  0.2872	3.71e-02
220448_at	  0.1073	5.05e-01
220449_at	  0.0665	5.99e-01
220450_at	  0.2330	1.13e-01
220452_x_at	  0.1118	4.55e-01
220455_at	  0.3597	4.94e-02
220457_at	  0.3236	8.86e-02
220458_at	  0.2589	1.01e-01
220459_at	  0.0913	1.89e-01
220463_at	  0.0056	9.63e-01
220464_at	  0.0846	5.47e-01
220465_at	  0.3008	1.09e-01
220468_at	 -0.0184	8.39e-01
220470_at	  0.0734	1.18e-01
220471_s_at	 -0.0980	5.07e-01
220472_at	  0.0684	6.00e-01
220473_s_at	 -0.0469	6.73e-01
220475_at	  0.4792	1.08e-01
220476_s_at	  0.1798	2.89e-01
220477_s_at	  0.1083	3.88e-01
220478_at	  0.4573	7.69e-02
220481_at	  0.4113	1.45e-01
220482_s_at	  0.1008	1.38e-01
220483_s_at	  0.1583	1.00e-01
220485_s_at	  0.0954	5.41e-01
220486_x_at	  0.2975	8.86e-02
220488_s_at	  0.6166	2.85e-02
220489_s_at	  0.2713	9.98e-02
220491_at	 -0.0419	5.99e-01
220496_at	  0.3819	4.99e-02
220497_at	  0.1519	1.58e-01
220498_at	  0.2830	6.90e-02
220503_at	  0.1899	1.79e-01
220505_at	 -0.0286	4.61e-01
220506_at	  0.2523	1.20e-01
220511_s_at	  0.0996	3.21e-01
220512_at	 -0.0148	8.73e-01
220514_at	  0.0059	9.54e-01
220518_at	  0.2652	7.65e-02
220522_at	  0.1315	1.43e-01
220523_at	  0.0732	4.13e-01
220526_s_at	 -0.3187	2.97e-01
220528_at	  0.2921	4.86e-02
220529_at	  0.2439	3.63e-02
220530_at	 -0.0609	4.10e-01
220532_s_at	  0.1443	2.36e-01
220537_at	  0.2501	1.81e-01
220538_at	  0.2161	1.95e-01
220539_at	  0.1945	7.57e-02
220540_at	  0.1883	1.67e-03
220543_at	 -0.2566	3.26e-01
220546_at	  0.4329	1.26e-01
220547_s_at	 -0.1708	4.70e-01
220549_at	  0.0450	3.08e-01
220550_at	  0.3427	1.32e-01
220554_at	  0.2242	2.09e-01
220555_s_at	  0.3158	7.96e-02
220556_at	  0.0903	1.10e-01
220560_at	  2.4998	7.80e-04
220561_at	  0.2085	5.17e-02
220562_at	  0.2737	6.79e-02
220563_s_at	  0.2600	3.83e-02
220564_at	  0.1500	2.33e-01
220567_at	  0.0614	1.89e-01
220570_at	  0.0192	8.07e-01
220573_at	  0.1473	7.48e-02
220576_at	 -0.0214	6.33e-01
220577_at	  0.0711	4.73e-01
220578_at	  0.2177	2.97e-03
220579_at	  0.1827	3.49e-01
220580_at	  0.3915	8.68e-02
220582_at	 -0.0998	3.85e-01
220583_at	  0.1078	4.42e-01
220586_at	  0.1026	1.79e-01
220587_s_at	 -0.0999	3.84e-01
220589_s_at	  0.1006	5.01e-01
220590_at	 -0.0195	8.33e-01
220591_s_at	  0.0410	8.31e-01
220593_s_at	  0.2708	8.11e-02
220595_at	  0.1450	1.84e-01
220596_at	  0.3377	5.79e-02
220598_at	  0.4366	2.40e-02
220599_s_at	  0.4140	1.32e-01
220600_at	 -0.0740	4.90e-01
220601_at	 -0.2945	5.35e-02
220604_x_at	  0.1619	3.19e-01
220607_x_at	  0.2374	3.45e-01
220608_s_at	 -0.0411	7.21e-01
220609_at	  0.0423	7.39e-01
220611_at	  0.2846	9.55e-02
220612_at	  0.1631	1.13e-01
220614_s_at	  0.3073	7.16e-02
220615_s_at	  0.1278	5.60e-01
220616_at	  0.3540	7.58e-02
220618_s_at	  0.2446	1.02e-01
220619_at	  0.5356	5.35e-02
220620_at	  0.0405	7.90e-01
220624_s_at	  0.2560	4.19e-02
220625_s_at	  0.0858	1.83e-01
220628_s_at	  0.4259	6.80e-02
220629_at	  0.3192	7.27e-02
220630_s_at	  0.0303	7.81e-01
220631_at	  0.1013	1.43e-01
220634_at	  0.4401	3.81e-02
220637_at	 -0.1348	1.54e-01
220639_at	  0.1734	1.97e-01
220641_at	  0.3411	6.21e-02
220643_s_at	  0.0063	8.85e-01
220646_s_at	  0.0838	3.75e-01
220648_at	 -0.0413	4.78e-01
220649_at	 -0.1453	1.30e-01
220651_s_at	 -0.4167	7.13e-02
220654_at	  0.2196	5.46e-02
220656_at	 -0.1194	9.28e-02
220657_at	  0.2556	1.64e-01
220658_s_at	 -0.0332	3.85e-01
220662_s_at	  0.1282	3.84e-01
220663_at	  0.3186	1.31e-01
220669_at	  0.0917	3.11e-01
220673_s_at	 -0.2082	3.31e-01
220676_at	 -0.0592	5.38e-01
220677_s_at	  0.1495	4.18e-02
220679_s_at	  0.3002	1.16e-01
220680_at	  0.0540	6.55e-01
220682_s_at	 -0.0308	6.97e-01
220689_at	  0.3080	1.78e-01
220690_s_at	 -0.1179	1.97e-01
220691_at	  0.2675	8.77e-02
220692_at	  0.3166	5.74e-02
220693_at	  0.5126	7.63e-02
220694_at	  0.2921	6.51e-02
220695_at	  0.3632	1.38e-01
220696_at	 -0.1212	1.25e-01
220698_at	  0.1248	4.41e-01
220701_at	  0.0090	9.73e-01
220703_at	  0.0297	7.78e-01
220705_s_at	  0.1458	3.45e-01
220706_at	  0.4199	1.09e-01
220707_s_at	  0.1879	2.41e-01
220708_at	  0.1149	4.05e-01
220709_at	  0.2609	1.90e-01
220713_at	  0.1327	1.63e-01
220714_at	  0.4048	1.25e-01
220715_at	  0.2951	4.23e-02
220718_at	  0.0275	4.94e-01
220723_s_at	 -0.0347	5.05e-01
220724_at	 -0.0886	5.39e-01
220726_at	 -0.1420	1.48e-01
220728_at	 -0.0090	9.19e-01
220729_at	 -0.0307	6.35e-01
220730_at	  0.1869	1.73e-01
220732_at	  0.1536	2.76e-02
220735_s_at	  0.2183	5.93e-02
220737_at	  0.4134	1.04e-01
220739_s_at	  0.0884	2.96e-01
220740_s_at	  0.1985	1.61e-01
220741_s_at	  0.4634	4.82e-02
220744_s_at	  0.0989	5.20e-01
220747_at	  0.3673	8.38e-02
220749_at	  0.0895	4.03e-01
220750_s_at	 -0.3418	4.64e-02
220751_s_at	  3.5652	7.55e-06
220754_at	  0.0938	4.71e-01
220755_s_at	  0.2323	5.45e-02
220756_s_at	  0.2155	2.26e-01
220757_s_at	  0.3444	4.39e-03
220762_s_at	 -0.5247	5.48e-03
220766_at	  0.1398	3.58e-01
220767_at	  0.2576	1.57e-01
220768_s_at	 -0.1586	3.54e-01
220770_s_at	  0.6198	8.09e-02
220771_at	  0.4959	6.97e-02
220772_at	  0.1888	2.38e-02
220777_at	  0.0900	5.79e-01
220780_at	 -0.2082	1.91e-02
220783_at	  0.0252	7.40e-01
220784_s_at	  0.3495	6.06e-02
220786_s_at	  0.3267	5.25e-02
220787_at	 -0.0760	5.16e-01
220788_s_at	  0.3012	1.12e-01
220789_s_at	 -0.8227	7.35e-04
220790_s_at	 -0.0830	5.47e-01
220791_x_at	 -0.1750	2.39e-01
220793_at	  0.7838	7.71e-02
220795_s_at	  0.2380	2.51e-01
220796_x_at	 -0.2612	6.76e-02
220797_at	  0.0844	1.90e-01
220799_at	 -0.0302	5.56e-01
220800_s_at	 -0.1415	2.35e-01
220801_s_at	  0.5018	1.13e-01
220802_at	  0.3331	1.32e-01
220804_s_at	  0.4804	1.76e-03
220807_at	  1.1301	3.57e-03
220808_at	  0.2382	1.41e-01
220811_at	  0.4233	9.39e-02
220813_at	  0.3665	1.58e-01
220814_at	  0.0036	9.58e-01
220817_at	  0.1238	4.53e-01
220818_s_at	  0.2413	2.72e-01
220829_s_at	  0.1571	1.14e-01
220830_at	  0.2423	1.41e-01
220832_at	  0.0347	6.38e-01
220833_at	  0.1641	4.56e-01
220834_at	  0.1647	5.22e-01
220835_s_at	  0.0534	4.34e-01
220836_at	  0.1652	9.24e-02
220840_s_at	 -0.3385	2.06e-02
220844_at	  0.0797	3.76e-01
220846_s_at	  0.1328	3.76e-01
220847_x_at	  0.2887	6.57e-02
220848_x_at	  0.1604	1.90e-01
220851_at	 -0.0088	9.48e-01
220853_at	  0.1433	1.63e-01
220855_at	 -0.1230	3.44e-01
220857_at	  0.0867	2.61e-01
220858_at	  0.0773	3.20e-01
220861_at	  0.2636	5.91e-02
220863_at	  0.1510	1.76e-01
220864_s_at	 -0.1437	2.92e-01
220866_at	  0.2578	1.73e-01
220867_s_at	  0.0857	4.63e-01
220868_s_at	  0.1116	1.96e-01
220870_at	  0.2372	1.35e-01
220871_at	  0.2796	1.40e-01
220872_at	  0.2328	2.48e-01
220874_at	  0.1126	5.97e-01
220876_at	  0.1807	3.18e-01
220878_at	  0.3488	3.91e-02
220879_at	  0.1633	3.26e-01
220880_at	  0.3929	1.18e-01
220882_at	  0.3364	6.35e-02
220883_at	  0.3187	1.66e-01
220884_at	 -0.0071	9.08e-01
220885_s_at	 -0.4971	6.51e-02
220886_at	  0.4965	6.13e-02
220893_at	  0.0113	9.25e-01
220901_at	  0.2906	2.06e-01
220902_at	  0.2057	2.74e-01
220903_at	  0.2446	6.78e-02
220906_at	  0.2026	8.17e-02
220907_at	  0.1942	2.74e-01
220908_at	  0.2037	8.04e-02
220910_at	  0.3337	8.84e-02
220914_at	  0.2557	2.12e-02
220916_at	  0.1956	2.19e-01
220917_s_at	  0.0245	8.13e-01
220918_at	  0.1257	2.83e-01
220919_s_at	  0.1623	1.40e-01
220921_at	 -0.0481	4.30e-01
220922_s_at	  0.2395	9.57e-02
220923_s_at	  0.3092	7.78e-02
220924_s_at	 -1.5874	1.05e-02
220925_at	 -0.1699	6.35e-01
220927_s_at	  0.6019	6.61e-03
220929_at	  0.0970	3.35e-01
220930_s_at	  0.5150	1.03e-01
220932_at	  0.0754	5.63e-01
220933_s_at	  0.0037	9.12e-01
220934_s_at	 -0.0124	8.78e-01
220935_s_at	  0.0385	4.48e-01
220936_s_at	 -0.0380	1.04e-01
220937_s_at	  1.3186	6.41e-03
220939_s_at	  0.0217	9.06e-01
220940_at	  0.6421	6.87e-03
220941_s_at	 -0.2378	2.33e-01
220942_x_at	 -0.5387	4.11e-03
220943_s_at	 -0.0831	4.34e-01
220946_s_at	  0.1904	1.06e-01
220951_s_at	  0.1896	3.43e-01
220957_at	  0.3187	1.44e-01
220958_at	  0.2967	1.79e-01
220959_s_at	  0.0811	2.64e-01
220961_s_at	  0.1430	1.02e-01
220962_s_at	  0.2273	2.01e-01
220965_s_at	  0.3747	6.36e-02
220966_x_at	 -0.8431	2.39e-02
220967_s_at	  0.4414	1.06e-02
220970_s_at	  0.1504	4.05e-02
220971_at	  0.1839	2.51e-01
220972_s_at	 -0.0092	9.20e-01
220973_s_at	  0.3116	6.27e-03
220975_s_at	  0.0493	5.28e-01
220976_s_at	  0.1726	1.89e-01
220977_x_at	 -0.0385	7.06e-01
220979_s_at	  0.6049	7.68e-02
220980_s_at	 -0.2676	4.46e-02
220985_s_at	  0.1152	1.72e-02
220988_s_at	  0.3315	8.23e-02
220989_s_at	  0.2910	6.81e-02
220990_s_at	 -1.8425	1.48e-03
220991_s_at	 -0.1123	4.50e-01
220992_s_at	  0.5433	1.42e-01
220993_s_at	  0.0227	8.47e-01
220994_s_at	  0.1370	3.44e-01
220996_s_at	  0.4320	3.30e-02
220997_s_at	 -0.1506	1.05e-01
220998_s_at	  0.0756	5.43e-01
221001_at	  0.0837	2.72e-01
221002_s_at	  0.1686	9.49e-02
221004_s_at	  0.1537	9.46e-02
221005_s_at	  0.3878	4.14e-02
221007_s_at	 -0.0615	6.69e-01
221012_s_at	 -0.2517	8.68e-02
221015_s_at	 -0.1122	2.67e-01
221016_s_at	  0.2233	4.70e-01
221017_s_at	  0.3977	1.41e-01
221018_s_at	  0.3734	1.10e-01
221020_s_at	 -2.0692	2.25e-04
221022_s_at	  0.0284	8.62e-01
221023_s_at	  0.3601	1.28e-01
221025_x_at	 -0.2503	2.01e-01
221026_s_at	 -0.0341	6.18e-01
221027_s_at	  1.0799	2.49e-02
221031_s_at	 -0.0770	6.16e-01
221033_s_at	  0.0974	3.30e-01
221036_s_at	 -0.0830	2.41e-01
221039_s_at	  0.7864	1.03e-02
221040_at	 -0.0106	8.89e-01
221041_s_at	  0.2043	2.50e-01
221042_s_at	  0.1871	1.02e-02
221044_s_at	 -0.2796	4.26e-03
221045_s_at	 -0.1111	2.74e-01
221047_s_at	  0.1273	1.11e-01
221049_s_at	  0.3213	2.22e-02
221052_at	  0.2812	1.00e-01
221057_at	  0.0644	3.43e-01
221058_s_at	 -0.7558	1.57e-02
221059_s_at	 -1.3873	1.28e-03
221060_s_at	  0.2324	1.21e-01
221062_at	  0.2487	5.34e-02
221064_s_at	  0.2138	8.34e-03
221067_s_at	  0.4037	7.37e-02
221068_at	  0.0094	9.60e-01
221069_s_at	 -0.0555	6.67e-01
221070_s_at	  0.1014	3.22e-02
221071_at	 -0.0356	5.21e-01
221075_s_at	 -0.0249	8.45e-01
221076_at	  0.3129	1.20e-01
221077_at	  0.1375	1.54e-01
221078_s_at	 -0.3113	1.95e-01
221085_at	  0.0577	4.51e-01
221086_s_at	  0.1495	1.65e-01
221087_s_at	  0.4494	8.59e-02
221091_at	  0.3060	5.44e-02
221093_at	  0.1280	9.66e-02
221097_s_at	  0.4337	6.62e-02
221101_at	  0.2071	1.88e-01
221104_s_at	  0.2690	1.70e-02
221108_at	  0.3050	1.32e-01
221109_at	  0.1871	2.45e-01
221111_at	  0.1173	1.55e-01
221113_s_at	  0.2214	2.86e-01
221115_s_at	  0.1825	1.94e-01
221117_at	  0.1177	1.19e-01
221118_at	  0.0350	6.52e-01
221119_at	  0.3742	8.98e-02
221126_at	 -0.0040	9.60e-01
221130_s_at	  0.2434	8.80e-02
221135_s_at	 -0.0684	6.71e-01
221139_s_at	  0.4455	5.95e-02
221142_s_at	  0.2444	1.25e-01
221145_at	  0.1224	3.94e-01
221146_at	  0.0698	4.17e-01
221149_at	  0.0325	5.88e-01
221154_at	  0.2175	6.77e-02
221155_x_at	  0.2619	2.16e-01
221158_at	 -0.0899	3.33e-01
221162_at	  0.3039	6.75e-02
221165_s_at	  0.2211	1.67e-02
221166_at	  0.2405	1.37e-01
221168_at	  0.2200	1.02e-01
221169_s_at	  0.1311	1.15e-01
221170_at	  0.1757	2.88e-01
221171_at	  0.4245	1.15e-01
221174_at	  0.2112	1.47e-01
221175_at	  0.0849	4.93e-01
221181_at	  0.1628	2.24e-01
221184_at	  0.4649	9.58e-02
221185_s_at	  0.3088	1.16e-01
221187_s_at	  0.2399	2.06e-01
221191_at	  0.5207	1.01e-01
221193_s_at	 -0.1940	1.57e-01
221194_s_at	  0.3412	5.54e-02
221195_at	  0.1091	1.98e-01
221196_x_at	 -0.0361	7.74e-01
221197_s_at	  0.1390	1.03e-01
221199_at	  0.1302	3.48e-01
221205_at	  0.2080	4.11e-02
221207_s_at	  0.5056	5.91e-02
221215_s_at	  0.1749	3.63e-01
221217_s_at	  0.4027	7.55e-02
221221_s_at	  0.3168	7.45e-03
221222_s_at	 -0.0499	7.08e-01
221223_x_at	 -1.2693	2.85e-03
221225_at	  0.0871	1.13e-01
221227_x_at	 -0.2661	1.03e-01
221229_s_at	 -0.6501	3.08e-02
221231_s_at	  0.3466	9.09e-02
221232_s_at	  0.4310	1.72e-02
221233_s_at	  0.0725	3.23e-01
221234_s_at	  0.0529	4.20e-01
221238_at	  0.1263	3.34e-01
221247_s_at	 -0.0069	9.20e-01
221253_s_at	 -0.6220	3.21e-02
221254_s_at	  0.4698	8.41e-02
221256_s_at	  0.7813	3.80e-04
221258_s_at	 -0.0130	9.45e-01
221259_s_at	  0.2230	9.81e-02
221260_s_at	  0.0155	9.14e-01
221261_x_at	  0.1201	6.22e-01
221265_s_at	 -0.0953	3.17e-01
221267_s_at	  0.1863	3.04e-02
221268_s_at	  0.0094	9.38e-01
221269_s_at	  0.0341	8.39e-01
221271_at	  0.0608	5.35e-01
221272_s_at	  0.0513	6.76e-01
221275_s_at	  0.2905	1.18e-01
221276_s_at	 -0.0476	7.47e-01
221277_s_at	 -0.1252	1.40e-01
221279_at	  0.2223	2.19e-01
221280_s_at	  0.6753	6.27e-02
221281_at	  0.3501	3.24e-02
221283_at	  0.1218	2.88e-01
221286_s_at	  0.3038	1.65e-01
221287_at	  0.2495	5.32e-02
221289_at	  0.1139	4.72e-01
221290_s_at	  0.0428	6.65e-01
221291_at	  0.3335	8.94e-02
221293_s_at	  0.0185	8.76e-01
221296_at	  0.3108	8.03e-02
221299_at	  0.2805	4.76e-02
221300_at	  0.3623	1.40e-02
221301_at	  0.2571	7.82e-02
221303_at	  0.2909	2.36e-01
221305_s_at	  0.3072	1.24e-01
221308_at	  0.2236	1.93e-01
221309_at	  0.1236	8.16e-02
221310_at	  0.1851	2.50e-01
221311_x_at	  0.3704	1.54e-01
221312_at	  0.3254	9.40e-03
221314_at	  0.0271	8.77e-01
221321_s_at	  0.0852	3.28e-01
221322_at	  0.2118	1.40e-01
221325_at	  0.1762	3.50e-01
221326_s_at	 -0.0860	5.80e-01
221328_at	  0.2727	2.03e-01
221332_at	  0.5058	1.15e-01
221333_at	  0.2914	1.52e-01
221336_at	  0.3596	6.66e-02
221337_s_at	  0.4093	1.81e-01
221345_at	 -0.1102	3.00e-01
221346_at	  0.3315	1.28e-01
221347_at	  0.1538	4.21e-01
221349_at	  0.2715	6.83e-02
221351_at	  0.3140	1.06e-01
221353_at	  0.1484	3.30e-01
221354_s_at	  0.3302	2.94e-02
221356_x_at	  0.3423	2.29e-02
221357_at	  0.2558	1.23e-01
221358_at	  0.0993	2.07e-01
221359_at	  0.0884	7.46e-02
221360_s_at	  0.2204	1.70e-01
221361_at	  0.2401	1.59e-01
221365_at	  0.3830	6.97e-02
221366_at	  0.1360	2.88e-01
221369_at	  0.0966	5.20e-01
221370_at	  0.0211	9.05e-01
221371_at	 -0.0647	5.18e-01
221373_x_at	  0.2979	2.86e-02
221382_at	  0.4349	1.11e-01
221384_at	  0.1619	2.49e-01
221387_at	 -0.0236	8.74e-01
221388_at	  0.2932	1.59e-01
221389_at	  0.4033	7.29e-02
221390_s_at	  0.0860	4.14e-01
221395_at	  0.2494	1.12e-01
221399_at	  0.2420	7.35e-02
221400_at	  0.1318	1.93e-01
221404_at	  0.1709	1.33e-01
221405_at	  0.3294	2.17e-01
221412_at	  0.1769	1.87e-02
221413_at	  0.3205	5.02e-02
221414_s_at	  0.3352	6.45e-02
221416_at	  0.2745	1.42e-02
221419_s_at	 -0.2369	1.55e-02
221420_at	  0.1350	3.29e-01
221421_s_at	  0.2761	1.20e-01
221423_s_at	  0.0437	8.48e-01
221426_s_at	  0.2797	6.31e-02
221429_x_at	  0.4132	1.44e-01
221434_s_at	 -0.5045	1.37e-01
221436_s_at	 -0.6355	1.50e-02
221437_s_at	 -0.1959	3.30e-01
221443_x_at	  0.3505	5.34e-03
221444_at	  0.4363	1.70e-01
221450_x_at	  0.1410	1.27e-01
221454_at	  0.5898	1.11e-01
221457_s_at	  0.3024	9.34e-02
221458_at	  0.2089	4.03e-01
221459_at	  0.0470	5.52e-01
221462_x_at	  0.0859	5.66e-01
221463_at	  0.0700	7.01e-01
221468_at	  0.0270	7.80e-01
221469_at	  0.0954	4.47e-01
221474_at	 -0.8540	1.51e-02
221479_s_at	  0.1892	2.50e-01
221480_at	 -0.5186	2.81e-03
221482_s_at	  0.0492	8.57e-01
221483_s_at	 -0.1535	4.89e-01
221486_at	  0.1320	6.47e-02
221491_x_at	  0.2035	3.62e-01
221492_s_at	 -0.4459	2.08e-01
221494_x_at	 -0.1642	2.04e-02
221496_s_at	  0.2342	3.17e-02
221498_at	  0.2212	2.36e-01
221499_s_at	  0.0182	8.88e-01
221504_s_at	  0.2524	1.81e-01
221505_at	 -1.0366	3.46e-02
221506_s_at	  0.0189	3.22e-01
221511_x_at	 -0.2293	8.74e-02
221512_at	  0.0611	2.38e-01
221513_s_at	 -0.5873	2.55e-03
221515_s_at	  0.3182	4.88e-02
221517_s_at	  0.0496	7.33e-01
221518_s_at	  0.1406	2.53e-01
221519_at	  0.3367	9.96e-02
221523_s_at	  0.4418	3.26e-02
221524_s_at	  0.4404	6.10e-03
221530_s_at	  0.3642	9.21e-02
221531_at	 -0.2570	3.89e-01
221535_at	 -0.7573	2.42e-03
221538_s_at	 -1.6269	4.22e-03
221539_at	 -0.5469	2.39e-02
221541_at	  0.3632	7.20e-02
221544_s_at	  0.3088	5.84e-02
221548_s_at	  0.0218	9.03e-01
221549_at	  0.2990	1.52e-01
221550_at	  0.3201	1.07e-01
221551_x_at	  1.0428	6.84e-04
221557_s_at	  0.2653	6.72e-02
221558_s_at	 -1.1543	2.73e-03
221559_s_at	 -0.0259	8.91e-01
221560_at	  0.0832	2.33e-01
221561_at	 -0.3746	7.09e-02
